name,short_name,short_name_grouped,description,yahoo_ticker,google_ticker,tradingview_ticker,asset_class,product,sub_product,main_country,exchange,trade_ccy,ccy1,ccy2,active,price_overwrite
STI ETF,es3,sti etf,straits times index,ES3.SI,NI225,sgx:es3,equity,etf,general,singapore,sgx,SGD,,,TRUE,
NetLink NBN Tr,cjlu,netlink,netlink trust,CJLU.SI,,,equity,stock,defensive,singapore,sgx,SGD,,,TRUE,
SSB,ssb,ssb,singapore savings bond,,,,bond,govies,government,singapore,sgx,SGD,,,TRUE,100
Frasers Com Tr,fcot,fcot,,ND8U.SI,,,equity,reit,commercial,singapore,sgx,SGD,,,FALSE,
Singtel,z74,singtel,,Z74.SI,Z74,,equity,stock,defensive,singapore,sgx,SGD,,,TRUE,
First Reit,aw9u,first reit,,AW9U.SI,,,equity,reit,healthcare,singapore,sgx,SGD,,,TRUE,
Mapletree Com Tr,mct,mct,mapletree commercial trust,N2IU.SI,,,equity,reit,commercial,singapore,sgx,SGD,,,TRUE,
OCBC Bank,o39,ocbc,,O39.SI,,,equity,stock,financials,singapore,sgx,SGD,,,TRUE,
Hyflux 6% PerCapSec,hyfluxpcs,hyfluxpcs,,,,,equity,stock,defensive,singapore,sgx,SGD,,,FALSE,
CapitaLand,c31,capitaland,,C31.SI,,,equity,stock,real estate,singapore,sgx,SGD,,,TRUE,
LionPhillip,clr,lionphillip sreit,Lion Phillip S Reits,CLR.SI,,sgx:clr,equity,etf,real estate,singapore,sgx,SGD,,,TRUE,
Keppel DC Reit,ajbu,keppel dc,,AJBU.SI,,,equity,reit,technology,singapore,sgx,SGD,,,TRUE,
Temasek Bond,tekb,tekb,,,,,bond,bond,government,singapore,sgx,SGD,,,TRUE,
Mapletree Log Tr,mlt,mlt,,M44U.SI,,,equity,reit,industrial,singapore,sgx,SGD,,,TRUE,
Fu Shou Yuan,1448,fu shou yuan,,1448.HK,,,equity,stock,defensive,hong kong,hkg,HKD,,,TRUE,
Starbucks,sbux,sbux,,SBUX,,,equity,stock,f&b,united states,nasdaq,USD,,,TRUE,
Nikko AM Singapore STI ETF,g3b,sti etf,,G3B.SI,,,equity,etf,index,singapore,sgx,SGD,,,TRUE,
Fraser Logistics Trust,buou,flt,"Frasers Logistics & Commercial Trust is a Singapore-listed real estate investment trust with a portfolio comprising 100 industrial and commercial properties, worth approximately S$6.2 billion, diversified across five major developed markets– Australia, Germany, Singapore, the United Kingdom and the Netherlands. ",BUOU.SI,,,equity,reit,industrial,singapore,sgx,SGD,,,TRUE,
Microsoft,msft,msft,,MSFT,,,equity,stock,technology,united states,nasdaq,USD,,,TRUE,
iShares Hang Seng TECH ETF,3067,3067,,3067.HK,,,equity,etf,technology,hong kong,hkg,HKD,,,TRUE,
SIA,c6l,sia,,C6L.SI,,,equity,stock,airlikne,singapore,sgx,SGD,,,TRUE,
LionPhillip HST,hst,lionphillip hst,Lion-OCBC Securities Hang Seng Tech ETF,HST.SI,,sgx:hst,equity,etf,technology,singapore,sgx,SGD,,,TRUE,
Syfe Cash+,syfecash,cash,Money market cash account 1.75%,,,,bond,money market,,singapore,-,SGD,,,TRUE,
ETHUSD,ethusd,eth,Ethereum,,,BINANCE:ETHUSD,crypto,crypto,,united states,binance,USD,,,TRUE,
BTCUSD,btcusd,btc,Bitcoin,,,BINANCE:BTCUSD,crypto,crypto,,united states,binance,USD,,,TRUE,
UNIUSD,uniusd,uni,Uniswap,,,BINANCE:UNIUSD,crypto,crypto,,united states,binance,USD,,,TRUE,
DOTUSD,dotusd,dot,Polkadot,,,BINANCE:DOTUSD,crypto,crypto,,united states,binance,USD,,,TRUE,
